ID,Item_name,Count
663,Crispy Corn,10
664,Chicken Steamed Momos,10
665,Mutton Kadhai,10
666,Raita,10
667,Ginger Fried Rice,10
668,Mushroom Manchurian Dry,10
669,Pudina Naan,10
670,Veg Kurma,10
671,Chole Masala,10
672,Chilly Gobi,10
673,Salted Fresh Lime Soda,10
674,Lemon Iced Tea,10
675,Lemon Juice,10
676,Masala Tea,10
677,Veg Dragon Chopsuey,10
678,Peas Biryani,10
679,Veg Lemon Coriander Soup,10
680,BBQ Chicken Pizza,10
681,Veg Korma,10
682,Coin Paratha,10
683,Malai Paneer,10
684,Samosa,10
685,Babycorn Masala,10
686,Double Egg Chicken Roll,10
687,Aloo Tikka,10
688,Tandoori Mushroom,10
689,Babycorn Chilly,10
690,Mixed Schezwan Noodles,9
691,Mutton Dum Biryani,9
692,Ginger Lime Soda,9
693,Boneless Chicken Curry,9
694,Greek Salad,9
695,Mint Lime Juice,9
696,Egg Mughlai,9
697,Aloo Manchurian,9
698,Tawa Paratha,9
699,Aloo Paratha Combo,9
700,Paneer Dosa,9
701,Double Chicken Roll,9
702,Sweet and Sour Chicken,9
703,Chilli Gobi,9
704,Soda,9
705,Schezwan Paneer,9
706,Chinese Chopsuey,9
707,Chicken Caesar Salad,9
708,Pudina Kulcha,9
709,Poha,9
710,Egg Do Pyaza,9
711,Strawberry Milk Shake,9
712,Mutton Keema Biryani,9
713,Non Veg Thali,9
714,Egg Dosa,9
715,Neer Dosa,9
716,Veg Caesar Salad,9
717,2 Paneer Paratha,9
718,Butter Fruit Milkshake,9
719,Mughlai Biryani,9
720,Plain Raita,9
721,Chicken Sandwich,9
722,Achari Chicken Tikka,9
723,Veg Manchurian Dry,9
724,Crab Masala,9
725,Vanilla Milk Shake,9
726,Chicken Singapore Fried Rice,9
727,Masala Soda,9
728,Veg Soup,9
729,Palak Aloo,9
730,Malabar Paratha,9
731,Methi Malai Paneer,9
732,Mutton Chilly,9
733,Keema Naan,9
734,Pulka,9
735,Methi Malai Matar,9
736,Vegetable Fried Rice,9
737,Rava Idli,9
738,Cheese Sandwich,9
739,Chicken Keema Masala,9
740,Boneless Chicken Pepper Dry,9
741,Chikku Milkshake,9
742,Samosa Chaat,9
743,Tomato Salad,9
744,Special Thali,9
745,Mutton Pepper,9
746,Fish Pepper Dry,9
747,Mushroom Pepper Salt,9
748,Chicken Club Sandwich,9
749,Tangdi Kebab,9
750,Lemon Chicken Dry,9
751,Chicken Achari,9
752,Grapes Juice,9
753,Veg Shahi Korma,9
754,Carrot Juice,9
755,Green Apple Mojito,9
756,Paneer Schezwan Fried Rice,9
757,Egg Pepper Dry,9
758,Afghani Kabab,9
759,Mutton 65,9
760,Chicken Paratha,9
761,Ajwain Paratha,9
762,Aloo Capsicum,9
763,Apple Shake,9
764,Veg Pepper Masala,9
765,Mountain Dew,9
766,Mutton Noodles,9
767,Special Chicken Fried Rice,9
768,Caramel Custard,9
769,Gongura Chicken,9
770,Aloo Gobhi,9
771,Palak Dal,9
772,Chicken Drumstick,9
773,Veg Malai Kofta,9
774,Plain Papad,9
775,Egg Chicken Roll,9
776,Matar Masala,9
777,Chicken Kalmi Kabab,9
778,Water Melon Juice,9
779,Fish Thali,9
780,Pepper Chicken Masala,9
781,Fish Kabab,9
782,Gongura Chicken Curry,9
783,Chilly Chicken Dry,9
784,Pepper Chicken Dry,9
785,Honey Chilly Chicken,9
786,Horlicks,9
787,Aloo Chilly,9
788,Egg Thali,9
789,Veg Steamed Momos,8
790,Gobi Matar,8
791,Yellow Dal Tadka,8
792,Espresso,8
